task_timestamp,test_name,client_request_connect_time,client_request_transmit_time,client_response_server_time,client_response_receive_time,client_total_time,client_elapsed_time
2018-06-28 16:56:00,portal.fo,3.894661,0.266211,0.00047,0.133321,4.294663,8.40949010848999
2018-06-28 17:03:00,portal.fo,3.908621,0.265253,0.000427,0.133277,4.307578,8.04267501831055
2018-06-28 17:03:00,portal.fo,3.899315,0.240253,0.00041,0.112424,4.252402,7.97772192955017
2018-06-28 17:03:00,portal.fo,3.8973,0.263205,0.000398,0.116325,4.277228,7.98446106910706
2018-06-28 17:03:00,portal.fo,3.901379,0.2702,0.000396,0.123365,4.29534,8.01173901557922
2018-06-28 17:03:00,portal.fo,3.909525,0.267244,0.000388,0.117331,4.294488,8.01540303230286
2018-06-28 17:05:00,portal.fo,3.923553,0.27428,0.000461,0.120101,4.318395,7.69883394241333
2018-06-28 17:05:00,portal.fo,3.819341,0.254358,0.000608,0.110185,4.184492,7.91464281082153
2018-06-28 17:05:00,portal.fo,3.840421,0.24944,0.000485,0.122998,4.213344,8.02836894989014
2018-06-28 17:05:00,portal.fo,3.89655,0.266169,0.000396,0.105301,4.268416,7.98957514762878
2018-06-28 17:05:00,portal.fo,3.894527,0.258206,0.000395,0.121319,4.274447,7.98730683326721
2018-06-28 17:05:49,portal.fo,3.916331,0.30542,0.000496,0.118016,4.340263,8.09005689620972
2018-06-28 17:05:57,portal.fo,3.837313,0.269038,0.000442,0.112415,4.219208,7.91043305397034
2018-06-28 17:06:06,portal.fo,3.840928,0.286157,0.000418,0.099284,4.226787,8.00186991691589
2018-06-28 17:06:16,portal.fo,3.905448,0.269123,0.000415,0.140898,4.315884,8.06677198410034
2018-06-28 17:06:24,portal.fo,3.910567,0.255163,0.000413,0.105399,4.271542,7.90502095222473
2018-06-28 17:06:33,portal.fo,3.887337,0.269011,0.000388,0.101517,4.258253,7.96103596687317
2018-06-28 17:06:42,portal.fo,3.797408,0.25127,0.000524,0.114144,4.163346,8.01293110847473
2018-06-28 17:06:51,portal.fo,3.879448,0.266205,0.000395,0.123486,4.269534,8.07068705558777
2018-06-28 17:07:01,portal.fo,3.905164,0.316236,0.000415,0.115272,4.337087,8.0472400188446
2018-06-28 17:07:09,portal.fo,3.888391,0.271297,0.000405,0.106481,4.266574,7.95879292488098
2018-06-28 17:15:10,portal.fo,3.856026,0.266225,0.000494,0.107209,4.229954,8.0802309513092
2018-06-28 17:15:20,portal.fo,3.906311,0.292118,0.00043,0.124383,4.323242,8.03996396064758
2018-06-28 17:15:28,portal.fo,3.896483,0.290049,0.000424,0.121369,4.308325,7.93388509750366
2018-06-28 17:15:37,portal.fo,3.907287,0.27208,0.000422,0.126315,4.306104,8.00597476959229
2018-06-28 17:15:46,portal.fo,3.908604,0.266155,0.000676,0.120978,4.296413,8.01587390899658
2018-06-28 17:15:55,portal.fo,3.897669,0.257151,0.000417,0.125367,4.280604,7.99809980392456
2018-06-28 17:16:04,portal.fo,3.90636,0.274236,0.000552,0.113239,4.294387,8.01828598976135
2018-06-28 17:16:13,portal.fo,3.805323,0.276077,0.000419,0.114372,4.196191,7.93579196929932
2018-06-28 17:16:22,portal.fo,3.916483,0.259153,0.000423,0.112609,4.288668,8.00716400146484
2018-06-28 17:16:31,portal.fo,3.892336,0.251103,0.000419,0.103524,4.247382,7.98119902610779
2018-06-28 17:25:11,portal.fo,3.855127,0.28061,0.000493,0.115609,4.251839,8.48937702178955
2018-06-28 17:25:20,portal.fo,3.85315,0.261602,0.000426,0.120006,4.235184,7.96815395355225
2018-06-28 17:25:29,portal.fo,3.909174,0.269706,0.000421,0.121094,4.300395,8.01914715766907
2018-06-28 17:25:38,portal.fo,3.91898,0.280816,0.000428,0.125162,4.325386,8.04027795791626
2018-06-28 17:25:47,portal.fo,3.932312,0.258746,0.000572,0.121159,4.312789,7.94102716445923
2018-06-28 17:25:55,portal.fo,3.807388,0.266722,0.000411,0.115331,4.189852,7.91517186164856
