4,2018-06-27 21:40:00,2018-06-27 21:40:49,2018-06-27 21:40:55,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,5.93,OK
4,2018-06-27 21:40:00,2018-06-27 21:40:55,2018-06-27 21:41:03,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,7.61,OK
4,2018-06-27 21:40:00,2018-06-27 21:41:03,2018-06-27 21:41:13,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,10.71,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:04,2018-06-27 21:50:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.08,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:08,2018-06-27 21:50:14,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,5.90,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:14,2018-06-27 21:50:26,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,11.93,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:26,2018-06-27 21:50:31,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,5.00,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:31,2018-06-27 21:50:37,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,6.08,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:37,2018-06-27 21:50:47,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,9.71,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:47,2018-06-27 21:50:52,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,5.26,OK
5,2018-06-27 21:50:00,2018-06-27 21:50:52,2018-06-27 21:51:00,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,8.38,OK
5,2018-06-27 21:50:00,2018-06-27 21:51:00,2018-06-27 21:51:14,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,14.03,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:04,2018-06-27 22:00:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.25,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:08,2018-06-27 22:00:17,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,8.74,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:17,2018-06-27 22:00:28,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,10.99,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:28,2018-06-27 22:00:33,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,4.76,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:33,2018-06-27 22:00:39,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,6.64,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:39,2018-06-27 22:00:49,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,10.03,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:49,2018-06-27 22:00:55,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,5.35,OK
6,2018-06-27 22:00:00,2018-06-27 22:00:55,2018-06-27 22:01:07,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,12.36,OK
6,2018-06-27 22:00:00,2018-06-27 22:01:07,2018-06-27 22:01:28,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,21.16,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:04,2018-06-27 22:10:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,3.97,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:08,2018-06-27 22:10:14,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,6.53,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:14,2018-06-27 22:10:29,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,14.79,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:29,2018-06-27 22:10:34,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,4.90,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:34,2018-06-27 22:10:41,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,6.92,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:41,2018-06-27 22:10:50,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,9.30,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:50,2018-06-27 22:10:57,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,6.42,OK
7,2018-06-27 22:10:00,2018-06-27 22:10:57,2018-06-27 22:11:09,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,12.43,OK
7,2018-06-27 22:10:00,2018-06-27 22:11:09,2018-06-27 22:11:20,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,10.49,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:03,2018-06-27 22:20:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.56,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:08,2018-06-27 22:20:15,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,7.02,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:15,2018-06-27 22:20:29,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,13.89,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:29,2018-06-27 22:20:34,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,4.84,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:34,2018-06-27 22:20:40,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,6.75,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:40,2018-06-27 22:20:53,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,12.26,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:53,2018-06-27 22:20:58,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,4.99,OK
8,2018-06-27 22:20:00,2018-06-27 22:20:58,2018-06-27 22:21:06,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,7.96,OK
8,2018-06-27 22:20:00,2018-06-27 22:21:06,2018-06-27 22:21:18,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,12.44,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:03,2018-06-27 22:30:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.27,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:08,2018-06-27 22:30:15,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,7.14,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:15,2018-06-27 22:30:30,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,15.42,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:31,2018-06-27 22:30:35,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,4.53,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:35,2018-06-27 22:30:43,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,8.30,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:43,2018-06-27 22:30:55,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,11.99,OK
9,2018-06-27 22:30:00,2018-06-27 22:30:56,2018-06-27 22:31:01,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,5.14,OK
9,2018-06-27 22:30:00,2018-06-27 22:31:01,2018-06-27 22:31:09,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,7.99,OK
9,2018-06-27 22:30:00,2018-06-27 22:31:09,2018-06-27 22:31:21,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,12.15,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:03,2018-06-27 22:40:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.64,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:08,2018-06-27 22:40:15,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,7.00,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:15,2018-06-27 22:40:25,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,10.02,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:25,2018-06-27 22:40:30,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,5.15,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:30,2018-06-27 22:40:38,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,7.92,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:38,2018-06-27 22:40:53,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,14.85,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:53,2018-06-27 22:40:59,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,5.72,OK
10,2018-06-27 22:40:00,2018-06-27 22:40:59,2018-06-27 22:41:09,3,hey,Faroe Islands,random2000x2000,random2000x2000.jpg,7907740,10.47,OK
10,2018-06-27 22:40:00,2018-06-27 22:41:09,2018-06-27 22:41:25,3,hey,Faroe Islands,random3000x3000,random3000x3000.jpg,17816816,15.87,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:03,2018-06-27 22:50:08,1,Vodafone,Iceland,random1000x1000,random1000x1000.jpg,1986284,4.50,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:08,2018-06-27 22:50:16,1,Vodafone,Iceland,random2000x2000,random2000x2000.jpg,7907740,8.26,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:16,2018-06-27 22:50:35,1,Vodafone,Iceland,random3000x3000,random3000x3000.jpg,17816816,18.90,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:35,2018-06-27 22:50:40,2,Vodafone,United Kingdom,random1000x1000,random1000x1000.jpg,1986284,4.76,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:40,2018-06-27 22:50:48,2,Vodafone,United Kingdom,random2000x2000,random2000x2000.jpg,7907740,7.96,OK
11,2018-06-27 22:50:00,2018-06-27 22:50:48,2018-06-27 22:51:02,2,Vodafone,United Kingdom,random3000x3000,random3000x3000.jpg,17816816,13.59,OK
11,2018-06-27 22:50:00,2018-06-27 22:51:02,2018-06-27 22:51:08,3,hey,Faroe Islands,random1000x1000,random1000x1000.jpg,1986284,6.06,OK
